Symbol,Date,Open,High,Low,Close,Volume,Amount,PctChange,Turnover,Source
002415,2025-05-16,659.1158483,662.79036174,655.67099195,661.4124192,16930451,486869068.79,,,baostock
002415,2025-05-19,661.64207629,662.79036174,657.04893449,660.72344793,19415184,557555180.16,,,baostock
002415,2025-05-20,661.4296863,663.7835286,656.7220017,663.31276014,25877848,726235946.32,,,baostock
002415,2025-05-21,663.31276014,674.61120318,661.66507053,670.37428704,30361429,861690464.53,,,baostock
002415,2025-05-22,668.4912132,669.90351858,664.25429706,666.37275513,19357835,548167945.55,,,baostock
002415,2025-05-23,665.90198667,668.25582897,661.90045476,663.31276014,23755323,671120232.69,,,baostock
002415,2025-05-26,663.31276014,665.43121821,660.01738092,664.72506552,18936921,532483962.74,,,baostock
002415,2025-05-27,27.0,27.03,26.81,26.96,185945,521531860.57,-0.48,0.2,baostock
002415,2025-05-28,26.95,27.03,26.85,26.86,161162,452466041.68,-0.37,0.18,baostock
002415,2025-05-29,26.92,27.19,26.86,27.13,236107,666452365.17,1.01,0.26,baostock
002415,2025-05-30,27.04,27.07,26.9,26.98,152289,428402303.04,-0.55,0.17,baostock
002415,2025-06-03,660.01738092,663.54814437,657.42815439,660.01738092,21592839,605673851.33,,,baostock
002415,2025-06-04,660.95891784,665.90198667,660.25276515,664.96044975,20005757,564200164.42,,,baostock
002415,2025-06-05,665.90198667,671.55120819,663.7835286,670.37428704,26559462,753867583.08,,,baostock
002415,2025-06-06,672.02197665,674.37581895,666.37275513,672.02197665,23292626,663638201.26,,,baostock
002415,2025-06-09,672.49274511,674.37581895,667.31429205,669.66813435,36301550,1033706098.9,,,baostock
002415,2025-06-10,669.66813435,669.90351858,658.36969131,662.13583899,39311829,1106474618.06,,,baostock
002415,2025-06-11,662.13583899,665.66660244,660.01738092,661.90045476,33289079,936562782.44,,,baostock
002415,2025-06-12,661.19430207,661.19430207,654.60354363,658.84045977,38373174,1071476921.68,,,baostock
002415,2025-06-13,26.76,26.79,26.54,26.61,376609,1045624845.73,-0.86,0.41,baostock
002415,2025-06-16,650.13124326,653.66200671,645.18817443,649.42509057,45667750,1258522078.76,,,baostock
002415,2025-06-17,647.54201673,651.07278018,645.89432712,650.13124326,20525407,566029532.96,,,baostock
002415,2025-06-18,650.13124326,651.07278018,646.12971135,650.83739595,18574639,512527937.66,,,baostock
002415,2025-06-19,26.43,26.47,26.15,26.3,305405,837238377.5,-0.75,0.34,baostock
002415,2025-06-20,26.18,26.29,26.09,26.11,208001,568151398.87,-0.72,0.23,baostock
