date,ticker,status,error_message,action,target_position,score,action_score,reasoning
2026-04-03,300308,baseline,,买入,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=58.065, DEA=49.879"
2026-04-10,300308,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=196.421, DEA=104.927"
2026-04-17,300308,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=403.251, DEA=259.589"
2026-04-24,300308,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=523.130, DEA=419.069"
2026-05-01,300308,baseline,,卖出,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=432.410, DEA=441.985"
2026-05-08,300308,baseline,,持有,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=400.275, DEA=424.396"
2026-05-15,300308,baseline,,买入,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=588.460, DEA=497.474"
2026-05-22,300308,baseline,,卖出,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=518.108, DEA=532.615"
2026-05-29,300308,baseline,,买入,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=598.101, DEA=557.289"
2026-06-05,300308,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=638.167, DEA=608.486"
2026-06-12,300308,baseline,,卖出,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=419.633, DEA=527.152"
2026-06-19,300308,baseline,,买入,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=523.276, DEA=497.325"
2026-06-26,300308,baseline,,卖出,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=489.992, DEA=521.927"
2026-06-30,300308,baseline,,持有,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=399.473, DEA=482.280"
