datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-10-09,3045181.311384201,0.015535215377807617,2848669.4984436035,0.9495564994812011,1424.3347492218018,0.00047477824974060057,2895275.1445770264,149906.16680717468,0.0
2025-10-10,3047332.388654709,0.000706387255979195,2848669.4984436035,0.0,1424.3347492218018,0.0,2897426.221847534,149906.16680717468,-0.019672632
2025-10-13,3050815.0757980347,0.0011492346564763096,2887495.1934814453,0.012740879591078015,1443.7475967407227,6.370439795539007e-06,2939754.0168762207,111061.05892181396,-0.004950464
2025-10-14,3060262.8525924683,0.0030968041522353618,2887495.1934814453,0.0,1443.7475967407227,0.0,2949201.7936706543,111061.05892181396,-0.011953473
2025-10-15,3077705.3174209595,0.00569966230636529,2887495.1934814453,0.0,1443.7475967407227,0.0,2966644.2584991455,111061.05892181396,0.014809966
2025-10-16,3074071.316642761,-0.0011807500729938123,2887495.1934814453,0.0,1443.7475967407227,0.0,2963010.2577209473,111061.05892181396,0.0026341677
2025-10-17,3034099.2974472046,-0.01300295766697133,2887495.1934814453,0.0,1443.7475967407227,0.0,2923038.2385253906,111061.05892181396,-0.022559106
2025-10-20,3073520.4910125732,0.013016074712550283,2934741.5771484375,0.015571798756469113,1514.617172241211,2.335769813470367e-05,2915283.9179992676,158236.57301330566,0.0053133965
2025-10-21,3067800.080093384,-0.001861191729782436,2934741.5771484375,0.0,1514.617172241211,0.0,2909563.507080078,158236.57301330566,0.015347719
2025-10-22,3059219.4637145996,-0.002796993335538014,2934741.5771484375,0.0,1514.617172241211,0.0,2900982.890701294,158236.57301330566,-0.0033208132
2025-10-23,3056359.258255005,-0.0009349461499966322,2934741.5771484375,0.0,1514.617172241211,0.0,2898122.685241699,158236.57301330566,0.002999425
2025-10-24,3054214.0342559814,-0.000701888691006904,2934741.5771484375,0.0,1514.617172241211,0.0,2895977.461242676,158236.57301330566,0.011796474
2025-10-27,3087821.7979278564,0.0110037355911967,2934741.5771484375,0.0,1514.617172241211,0.0,2929585.224914551,158236.57301330566,0.011872768
2025-10-28,3069945.304092407,-0.0057893541160456835,2934741.5771484375,0.0,1514.617172241211,0.0,2911708.7310791016,158236.57301330566,-0.005098641
2025-10-29,3067800.080093384,-0.0006987824819431588,2934741.5771484375,0.0,1514.617172241211,0.0,2909563.507080078,158236.57301330566,0.011906505
2025-10-30,3052068.810256958,-0.005127866688088398,2934741.5771484375,0.0,1514.617172241211,0.0,2893832.2372436523,158236.57301330566,-0.0079882145
2025-10-31,3000584.8323669434,-0.016868550839022577,2934741.5771484375,0.0,1514.617172241211,0.0,2842348.2593536377,158236.57301330566,-0.014701664
2025-11-03,2984094.734426117,-0.005493694381825973,2946345.3872680664,0.003867182821981908,1520.4190773010255,1.9335914109909845e-06,2837467.7734375,146626.96098861695,0.002744317
2025-11-04,2997736.384816742,0.004571453524329374,2946345.3872680664,0.0,1520.4190773010255,0.0,2851109.423828125,146626.96098861695,-0.0074576735
2025-11-05,2998454.292531586,0.00023948327093732666,2946345.3872680664,0.0,1520.4190773010255,0.0,2851827.3315429688,146626.96098861695,0.00185287
2025-11-06,3017839.7661643983,0.0064651556240483505,2946345.3872680664,0.0,1520.4190773010255,0.0,2871212.8051757812,146626.96098861695,0.014294982
2025-11-07,3019993.7700706483,0.0007137568834503388,2946345.3872680664,0.0,1520.4190773010255,0.0,2873366.8090820312,146626.96098861695,-0.0031126142
2025-11-10,3080144.4605602263,0.019921374206498924,2954169.0574645996,0.002590624614550175,1532.1545825958253,3.885936921825278e-06,2925705.564880371,154438.89567985534,0.003474474
2025-11-11,3084440.4818309783,0.0013947466833976285,2954169.0574645996,0.0,1532.1545825958253,0.0,2930001.586151123,154438.89567985534,-0.009134114
2025-11-12,3100909.1700328826,0.005339278970988019,2954169.0574645996,0.0,1532.1545825958253,0.0,2946470.2743530273,154438.89567985534,-0.0013451576
2025-11-13,3090168.696857834,-0.003463652943738089,2954169.0574645996,0.0,1532.1545825958253,0.0,2935729.8011779785,154438.89567985534,0.012089372
2025-11-14,3062959.5354808806,-0.008805073135528209,2954169.0574645996,0.0,1532.1545825958253,0.0,2908520.6398010254,154438.89567985534,-0.015723705
