date,ticker,status,error_message,action,target_position,score,action_score,reasoning
2025-10-03,000651,baseline,,买入,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=-177.181, DEA=-185.195"
2025-10-10,000651,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=-147.279, DEA=-173.850"
2025-10-17,000651,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=-88.041, DEA=-125.735"
2025-10-24,000651,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=-53.573, DEA=-82.335"
2025-10-31,000651,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=-43.296, DEA=-52.885"
2025-11-07,000651,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=-55.875, DEA=-56.046"
2025-11-14,000651,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=-4.324, DEA=-28.306"
2025-11-21,000651,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=-16.945, DEA=-19.580"
2025-11-28,000651,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=-15.249, DEA=-18.507"
2025-12-05,000651,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=14.491, DEA=-1.012"
2025-12-12,000651,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=8.123, DEA=5.007"
2025-12-19,000651,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=23.872, DEA=14.310"
2025-12-26,000651,baseline,,卖出,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=16.204, DEA=17.511"
2025-12-31,000651,baseline,,持有,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=-0.003, DEA=12.027"
