datetime,cash,now_account_value,SH600276.amount,SH600276.price,SH600276.weight,SH600276.count_day
2026-04-17,3000000.0,3000000.0,,,,
2026-04-20,3000000.0,3000000.0,,,,
2026-04-21,3000000.0,3000000.0,,,,
2026-04-22,3000000.0,3000000.0,,,,
2026-04-23,3000000.0,3000000.0,,,,
2026-04-24,3000000.0,3000000.0,,,,
2026-04-27,3000000.0,3000000.0,,,,
2026-04-28,3000000.0,3000000.0,,,,
2026-04-29,3000000.0,3000000.0,,,,
2026-04-30,3000000.0,3000000.0,,,,
2026-05-06,3000000.0,3000000.0,,,,
2026-05-07,3000000.0,3000000.0,,,,
2026-05-08,3000000.0,3000000.0,,,,
2026-05-11,3000000.0,3000000.0,,,,
2026-05-12,3000000.0,3000000.0,,,,
2026-05-13,3000000.0,3000000.0,,,,
2026-05-14,3000000.0,3000000.0,,,,
2026-05-15,3000000.0,3000000.0,,,,
2026-05-18,3000000.0,3000000.0,,,,
2026-05-19,3000000.0,3000000.0,,,,
2026-05-20,3000000.0,3000000.0,,,,
2026-05-21,3000000.0,3000000.0,,,,
2026-05-22,3000000.0,3000000.0,,,,
2026-05-25,3000000.0,3000000.0,,,,
2026-05-26,3000000.0,3000000.0,,,,
2026-05-27,3000000.0,3000000.0,,,,
2026-05-28,3000000.0,3000000.0,,,,
2026-05-29,3000000.0,3000000.0,,,,
2026-06-01,3000000.0,3000000.0,,,,
2026-06-02,3000000.0,3000000.0,,,,
2026-06-03,3000000.0,3000000.0,,,,
2026-06-04,3000000.0,3000000.0,,,,
2026-06-05,3000000.0,3000000.0,,,,
2026-06-08,3000000.0,3000000.0,,,,
2026-06-09,3000000.0,3000000.0,,,,
2026-06-10,3000000.0,3000000.0,,,,
2026-06-11,3000000.0,3000000.0,,,,
2026-06-12,3000000.0,3000000.0,,,,
2026-06-15,3000000.0,3000000.0,,,,
2026-06-16,3000000.0,3000000.0,,,,
2026-06-17,3000000.0,3000000.0,,,,
2026-06-18,3000000.0,3000000.0,,,,
2026-06-22,3000000.0,3000000.0,,,,
2026-06-23,3000000.0,3000000.0,,,,
2026-06-24,3000000.0,3000000.0,,,,
2026-06-25,3000000.0,3000000.0,,,,
2026-06-26,3000000.0,3000000.0,,,,
2026-06-29,3000000.0,3000000.0,,,,
2026-06-30,3000000.0,3000000.0,,,,
2026-07-01,149703.53029174823,3118359.4629089357,55200.0,53.779998779296875,0.9519928564771367,1.0
