datetime,cash,now_account_value,SH600276.amount,SH600276.price,SH600276.weight,SH600276.count_day
2026-04-17,3000000.0,3000000.0,,,,
2026-04-20,148643.3706550598,2999081.011035919,50800.0,56.11097717285156,0.9504370271732951,1.0
2026-04-21,148643.3706550598,2969230.8950691223,50800.0,55.52337646484375,0.9499387632999826,2.0
2026-04-22,148643.3706550598,2953546.9686775208,50800.0,55.214637756347656,0.9496729280991877,3.0
2026-04-23,148643.3706550598,3002116.678455353,50800.0,56.17073440551758,0.9504871440467998,4.0
2026-04-24,148643.3706550598,2984408.844593048,50800.0,55.8221549987793,0.9501933621044041,5.0
2026-04-27,2980660.414284515,2980660.414284515,,,,
2026-04-28,2980660.414284515,2980660.414284515,,,,
2026-04-29,2980660.414284515,2980660.414284515,,,,
2026-04-30,2980660.414284515,2980660.414284515,,,,
2026-05-06,2980660.414284515,2980660.414284515,,,,
2026-05-07,2980660.414284515,2980660.414284515,,,,
2026-05-08,2980660.414284515,2980660.414284515,,,,
2026-05-11,2980660.414284515,2980660.414284515,,,,
2026-05-12,2980660.414284515,2980660.414284515,,,,
2026-05-13,2980660.414284515,2980660.414284515,,,,
2026-05-14,2980660.414284515,2980660.414284515,,,,
2026-05-15,2980660.414284515,2980660.414284515,,,,
2026-05-18,2980660.414284515,2980660.414284515,,,,
2026-05-19,2980660.414284515,2980660.414284515,,,,
2026-05-20,2980660.414284515,2980660.414284515,,,,
2026-05-21,2980660.414284515,2980660.414284515,,,,
2026-05-22,2980660.414284515,2980660.414284515,,,,
2026-05-25,2980660.414284515,2980660.414284515,,,,
2026-05-26,2980660.414284515,2980660.414284515,,,,
2026-05-27,2980660.414284515,2980660.414284515,,,,
2026-05-28,2980660.414284515,2980660.414284515,,,,
2026-05-29,2980660.414284515,2980660.414284515,,,,
2026-06-01,2980660.414284515,2980660.414284515,,,,
2026-06-02,2980660.414284515,2980660.414284515,,,,
2026-06-03,2980660.414284515,2980660.414284515,,,,
2026-06-04,2980660.414284515,2980660.414284515,,,,
2026-06-05,2980660.414284515,2980660.414284515,,,,
2026-06-08,2980660.414284515,2980660.414284515,,,,
2026-06-09,2980660.414284515,2980660.414284515,,,,
2026-06-10,2980660.414284515,2980660.414284515,,,,
2026-06-11,2980660.414284515,2980660.414284515,,,,
2026-06-12,2980660.414284515,2980660.414284515,,,,
2026-06-15,150350.0465248106,2946542.1089027403,58400.0,47.880001068115234,0.9489740716514656,1.0
2026-06-16,150350.0465248106,2915589.9574134825,58400.0,47.349998474121094,0.9484323760470793,2.0
2026-06-17,150350.0465248106,2894566.1445472715,58400.0,46.9900016784668,0.9480578300799803,3.0
2026-06-18,150350.0465248106,2978077.939591217,58400.0,48.41999816894531,0.949514401713258,4.0
2026-06-22,140705.0463722227,3033201.0821388243,58600.0,49.36000061035156,0.9536116984789527,5.0
2026-06-23,140705.0463722227,3010933.0195472715,58600.0,48.97999954223633,0.9532686228957098,6.0
2026-06-24,140705.0463722227,3085355.0463722227,58600.0,50.25,0.9543958331350991,7.0
2026-06-25,140705.0463722227,3073049.100022125,58600.0,50.040000915527344,0.9542132124178525,8.0
2026-06-26,140705.0463722227,2992766.939072418,58600.0,48.66999816894531,0.9529849636684931,9.0
2026-06-29,165173.28803424817,3240406.305764961,58100.0,52.93000030517578,0.9490269822829345,10.0
2026-06-30,165173.28803424817,3188697.341226387,58100.0,52.040000915527344,0.9482003870675535,11.0
2026-07-01,139355.3852289198,3290863.3136957167,58600.0,53.779998779296875,0.9576538519090237,12.0
