date,ticker,status,error_message,action,target_position,score,action_score,reasoning
2026-04-17,600276,baseline,,持有,0.0,0.0,0.0,zmr: ZMR neutral: keep previous position
2026-04-24,600276,baseline,,持有,0.0,0.0,0.0,zmr: ZMR neutral: keep previous position
2026-05-01,600276,baseline,,买入,1.0,1.0,1.0,"zmr: ZMR long reversion: zscore20=-2.26, close near lower band"
2026-05-08,600276,baseline,,持有,1.0,1.0,1.0,"zmr: ZMR long reversion: zscore20=-2.06, close near lower band"
2026-05-15,600276,baseline,,持有,1.0,1.0,1.0,zmr: ZMR neutral: keep previous position
2026-05-22,600276,baseline,,持有,1.0,1.0,1.0,"zmr: ZMR long reversion: zscore20=-1.89, close near lower band"
2026-05-29,600276,baseline,,持有,1.0,1.0,1.0,zmr: ZMR neutral: keep previous position
2026-06-05,600276,baseline,,持有,1.0,1.0,1.0,"zmr: ZMR long reversion: zscore20=-1.31, close near lower band"
2026-06-12,600276,baseline,,持有,1.0,1.0,1.0,zmr: ZMR neutral: keep previous position
2026-06-19,600276,baseline,,持有,1.0,1.0,1.0,zmr: ZMR neutral: keep previous position
2026-06-26,600276,baseline,,持有,1.0,1.0,1.0,zmr: ZMR neutral: keep previous position
2026-06-30,600276,baseline,,卖出,0.0,0.0,0.0,"zmr: ZMR exit: zscore20=2.00, close near upper band"
