datetime,cash,now_account_value,SZ002230.amount,SZ002230.price,SZ002230.weight,SZ002230.count_day
2025-10-09,150375.8229045868,3162195.792081833,50500.0,59.63999938964844,0.9524457583299778,1.0
2025-10-10,150375.8229045868,2976860.8845500946,50500.0,55.970001220703125,0.9494851023489081,2.0
2025-10-13,42782.051988601685,2952331.9558582306,52500.0,55.41999816894531,0.9855090644858853,3.0
2025-10-14,42782.051988601685,2820032.1320972443,52500.0,52.900001525878906,0.9848292324397081,4.0
2025-10-15,42782.051988601685,2902982.027956009,52500.0,54.47999954223633,0.9852627224086797,5.0
2025-10-16,42782.051988601685,2862557.003923416,52500.0,53.709999084472656,0.9850546026053054,6.0
2025-10-17,42782.051988601685,2738132.059999466,52500.0,51.34000015258789,0.9843754606968774,7.0
2025-10-20,178220.5842350006,2740585.508093643,49900.0,51.349998474121094,0.9349698873803901,8.0
2025-10-21,178220.5842350006,2802960.508093643,49900.0,52.599998474121094,0.936417019176552,9.0
2025-10-22,178220.5842350006,2760545.5842350004,49900.0,51.75,0.9354400864623329,10.0
2025-10-23,178220.5842350006,2765535.508093643,49900.0,51.849998474121094,0.9355565735050524,11.0
2025-10-24,178220.5842350006,2800465.5461643217,49900.0,52.54999923706055,0.9363603724819605,12.0
2025-10-27,172895.58415870665,2813895.5688999174,50000.0,52.81999969482422,0.938556502924414,13.0
2025-10-28,172895.58415870665,2852395.591788101,50000.0,53.59000015258789,0.9393858325063803,14.0
2025-10-29,172895.58415870665,2872395.6680820463,50000.0,53.9900016784668,0.9398078802026073,15.0
2025-10-30,172895.58415870665,2873895.60704689,50000.0,54.02000045776367,0.9398392955767911,16.0
2025-10-31,172895.58415870665,2952895.507864761,50000.0,55.599998474121094,0.9414487970542083,17.0
2025-11-03,178515.14203681945,2952955.065895462,49900.0,55.599998474121094,0.9395469493936623,18.0
2025-11-04,178515.14203681945,2877606.149650955,49900.0,54.09000015258789,0.9379640114897333,19.0
2025-11-05,178515.14203681945,2811738.1648792266,49900.0,52.77000045776367,0.9365107518663683,20.0
2025-11-06,178515.14203681945,2853155.065895462,49900.0,53.599998474121094,0.9374323729647016,21.0
2025-11-07,178515.14203681945,2799263.1648792266,49900.0,52.52000045776367,0.9362278101335566,22.0
2025-11-10,152171.97711315154,2818835.969422722,50400.0,52.90999984741211,0.9460160226547999,23.0
2025-11-11,152171.97711315154,2746763.9540418624,50400.0,51.47999954223633,0.9445995434412082,24.0
2025-11-12,152171.97711315154,2699891.938661003,50400.0,50.54999923706055,0.943637752706273,25.0
2025-11-13,152171.97711315154,2716019.9232801436,50400.0,50.869998931884766,0.9439724370911929,26.0
2025-11-14,152171.97711315154,2671163.9540418624,50400.0,49.97999954223633,0.9430315848329366,27.0
2025-11-17,132201.99650249482,2700650.0662656785,50800.0,50.560001373291016,0.9510480835137234,28.0
2025-11-18,132201.99650249482,2750941.9577451707,50800.0,51.54999923706055,0.9519430076922251,29.0
2025-11-19,132201.99650249482,2718937.903484917,50800.0,50.91999816894531,0.951377338800916,30.0
2025-11-20,132201.99650249482,2677281.9189878465,50800.0,50.099998474121094,0.950620815998162,31.0
2025-11-21,132201.99650249482,2631562.035259819,50800.0,49.20000076293945,0.9497629184753601,32.0
2025-11-24,2658247.197803307,2658247.197803307,,,,
2025-11-25,2658247.197803307,2658247.197803307,,,,
2025-11-26,2658247.197803307,2658247.197803307,,,,
2025-11-27,2658247.197803307,2658247.197803307,,,,
2025-11-28,2658247.197803307,2658247.197803307,,,,
2025-12-01,2658247.197803307,2658247.197803307,,,,
2025-12-02,2658247.197803307,2658247.197803307,,,,
2025-12-03,2658247.197803307,2658247.197803307,,,,
2025-12-04,2658247.197803307,2658247.197803307,,,,
2025-12-05,2658247.197803307,2658247.197803307,,,,
2025-12-08,2658247.197803307,2658247.197803307,,,,
2025-12-09,2658247.197803307,2658247.197803307,,,,
2025-12-10,2658247.197803307,2658247.197803307,,,,
2025-12-11,2658247.197803307,2658247.197803307,,,,
2025-12-12,2658247.197803307,2658247.197803307,,,,
2025-12-15,2658247.197803307,2658247.197803307,,,,
2025-12-16,2658247.197803307,2658247.197803307,,,,
2025-12-17,2658247.197803307,2658247.197803307,,,,
2025-12-18,2658247.197803307,2658247.197803307,,,,
2025-12-19,2658247.197803307,2658247.197803307,,,,
2025-12-22,2658247.197803307,2658247.197803307,,,,
2025-12-23,2658247.197803307,2658247.197803307,,,,
2025-12-24,2658247.197803307,2658247.197803307,,,,
2025-12-25,2658247.197803307,2658247.197803307,,,,
2025-12-26,2658247.197803307,2658247.197803307,,,,
2025-12-29,2658247.197803307,2658247.197803307,,,,
2025-12-30,2658247.197803307,2658247.197803307,,,,
2025-12-31,2658247.197803307,2658247.197803307,,,,
2026-01-05,2658247.197803307,2658247.197803307,,,,
