datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-10-09,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0
2025-10-10,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.019672632
2025-10-13,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.004950464
2025-10-14,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.011953473
2025-10-15,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.014809966
2025-10-16,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0026341677
2025-10-17,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.022559106
2025-10-20,2953803.7757125855,-0.01492399444580075,2848481.900024414,0.9494939666748047,1424.2409500122071,0.00047474698333740235,2803709.9166870117,150093.85902557382,0.0053133965
2025-10-21,3022053.7757125855,0.023105800243462395,2848481.900024414,0.0,1424.2409500122071,0.0,2871959.9166870117,150093.85902557382,0.015347719
2025-10-22,2975643.859025574,-0.015357078374976463,2848481.900024414,0.0,1424.2409500122071,0.0,2825550.0,150093.85902557382,-0.0033208132
2025-10-23,2981103.7757125855,0.0018348690050561571,2848481.900024414,0.0,1424.2409500122071,0.0,2831009.9166870117,150093.85902557382,0.002999425
2025-10-24,3019323.8173690797,0.012820768591780487,2848481.900024414,0.0,1424.2409500122071,0.0,2869229.958343506,150093.85902557382,0.011796474
2025-10-27,3034245.9630031586,0.004958072250696789,2880401.9004821777,0.010571903640854762,1472.1209506988525,1.585785546128211e-05,2852279.983520508,181965.97948265084,0.011872768
2025-10-28,3075825.987722397,0.013703577503678793,2880401.9004821777,0.0,1472.1209506988525,0.0,2893860.008239746,181965.97948265084,-0.005098641
2025-10-29,3097426.070119858,0.007022530690513957,2880401.9004821777,0.0,1472.1209506988525,0.0,2915460.090637207,181965.97948265084,0.011906505
2025-10-30,3099046.004201889,0.0005229936228852639,2880401.9004821777,0.0,1472.1209506988525,0.0,2917080.0247192383,181965.97948265084,-0.0079882145
2025-10-31,3184365.89708519,0.027531018502990435,2880401.9004821777,0.0,1472.1209506988525,0.0,3002399.917602539,181965.97948265084,-0.014701664
2025-11-03,3184485.0131465914,4.270867903711384e-05,2891657.900238037,0.003534769596095272,1489.0049503326416,5.302154394142894e-06,2991279.917907715,193205.09523887644,0.002744317
2025-11-04,3103247.103448105,-0.025510532900330753,2891657.900238037,0.0,1489.0049503326416,0.0,2910042.0082092285,193205.09523887644,-0.0074576735
2025-11-05,3032231.119866562,-0.022884411461348054,2891657.900238037,0.0,1489.0049503326416,0.0,2839026.0246276855,193205.09523887644,0.00185287
2025-11-06,3076885.0131465914,0.01472641481299564,2891657.900238037,0.0,1489.0049503326416,0.0,2883679.917907715,193205.09523887644,0.014294982
2025-11-07,3018781.119866562,-0.018883998924811646,2891657.900238037,0.0,1489.0049503326416,0.0,2825576.0246276855,193205.09523887644,-0.0031126142
2025-11-10,3039897.2890296937,0.007000165405837681,2923253.9001464844,0.010466475923184483,1504.802950286865,5.233237961592212e-06,2878303.9916992188,161593.29733047495,0.003474474
2025-11-11,2962105.272428131,-0.025590343753486806,2923253.9001464844,0.0,1504.802950286865,0.0,2800511.9750976562,161593.29733047495,-0.009134114
2025-11-12,2911513.2558265687,-0.01707974968765733,2923253.9001464844,0.0,1504.802950286865,0.0,2749919.9584960938,161593.29733047495,-0.0013451576
2025-11-13,2928921.239225006,0.005979015676332695,2923253.9001464844,0.0,1504.802950286865,0.0,2767327.9418945312,161593.29733047495,0.012089372
2025-11-14,2880505.272428131,-0.016530306840782747,2923253.9001464844,0.0,1504.802950286865,0.0,2718911.9750976562,161593.29733047495,-0.015723705
2025-11-17,2912311.391976166,0.011045318976805949,2943213.900756836,0.006929340071482048,1514.7829505920408,3.464670035741008e-06,2770688.0752563477,141623.31671981822,-0.00650084
2025-11-18,2966563.2749107364,0.01862846228739207,2943213.900756836,0.0,1514.7829505920408,0.0,2824939.958190918,141623.31671981822,-0.0064940453
2025-11-19,2932039.2163780215,-0.0116377286891862,2943213.900756836,0.0,1514.7829505920408,0.0,2790415.899658203,141623.31671981822,0.0043997765
2025-11-20,2887103.2331016543,-0.015325846607153186,2943213.900756836,0.0,1514.7829505920408,0.0,2745479.916381836,141623.31671981822,-0.0050876737
2025-11-21,2837783.3585289004,-0.01708282336678654,2943213.900756836,0.0,1514.7829505920408,0.0,2696160.041809082,141623.31671981822,-0.0243904
2025-11-24,2911268.454911423,0.02591103938954437,2973093.9002990723,0.010529344832625293,1559.6029499053952,1.579401724893791e-05,2739809.9586486816,171458.4962627412,-0.0012483001
2025-11-25,2910184.430100632,-0.00037235480945160647,2973093.9002990723,0.0,1559.6029499053952,0.0,2738725.9338378906,171458.4962627412,0.009522557
2025-11-26,2882542.5210735323,-0.00949833582407826,2973093.9002990723,0.0,1559.6029499053952,0.0,2711084.024810791,171458.4962627412,0.0060619116
2025-11-27,2847312.4383708956,-0.012221877889078333,2973093.9002990723,0.0,1559.6029499053952,0.0,2675853.9421081543,171458.4962627412,-0.00049197674
2025-11-28,2855442.5210735323,0.0028553532071416746,2973093.9002990723,0.0,1559.6029499053952,0.0,2683984.024810791,171458.4962627412,0.0024933815
2025-12-01,2885841.5959331514,0.010647762872210932,2983057.900238037,0.003489476627678283,1564.6029499053952,1.751042076000255e-06,2724352.099609375,161489.49632377634,0.011006832
2025-12-02,2853745.58763237,-0.011121888445302156,2983057.900238037,0.0,1564.6029499053952,0.0,2692256.0913085938,161489.49632377634,-0.004840255
2025-12-03,2800433.4050151827,-0.018681477020317822,2983057.900238037,0.0,1564.6029499053952,0.0,2638943.9086914062,161489.49632377634,-0.005112827
2025-12-04,2806961.554429245,0.002331121105173043,2983057.900238037,0.0,1564.6029499053952,0.0,2645472.0581054688,161489.49632377634,0.0034247637
2025-12-05,2817841.5959331514,0.0038760920992088714,2983057.900238037,0.0,1564.6029499053952,0.0,2656352.099609375,161489.49632377634,0.008351445
2025-12-08,2836888.5128185274,0.006761173840599361,2987963.900375366,0.0017410489448412161,1569.6029499053952,1.77440776203185e-06,2680310.01663208,156578.49618644724,0.008118153
2025-12-09,2806913.5543987276,-0.010566139023214153,2987963.900375366,0.0,1569.6029499053952,0.0,2650335.0582122803,156578.49618644724,-0.0050914288
2025-12-10,2835798.4878704073,0.01029063877881596,2987963.900375366,0.0,1569.6029499053952,0.0,2679219.99168396,156578.49618644724,-0.0013909936
2025-12-11,2819993.437974167,-0.005573403739314818,2987963.900375366,0.0,1569.6029499053952,0.0,2663414.9417877197,156578.49618644724,-0.008633316
2025-12-12,2865228.5377666475,0.01604085285566358,2987963.900375366,0.0,1569.6029499053952,0.0,2708650.0415802,156578.49618644724,0.006319046
2025-12-15,2874631.537546921,0.0032852177954400034,3007763.900375366,0.006910443526237337,1579.5029499053953,3.4552217631187e-06,2737862.9413604736,136768.59618644725,-0.006306708
2025-12-16,2813143.5961864474,-0.021389851380029256,3007763.900375366,0.0,1579.5029499053953,0.0,2676375.0,136768.59618644725,-0.011973679
2025-12-17,2844985.6967113498,0.011319045557456832,3007763.900375366,0.0,1579.5029499053953,0.0,2708217.1005249023,136768.59618644725,0.018303394
2025-12-18,2808202.587809372,-0.012929101522196344,3007763.900375366,0.0,1579.5029499053953,0.0,2671433.991622925,136768.59618644725,-0.005913377
2025-12-19,2815888.5543010714,0.0027369700907849746,3007763.900375366,0.0,1579.5029499053953,0.0,2679119.958114624,136768.59618644725,0.0033794641
2025-12-22,2829576.8721794127,0.004866314704464758,3017551.900100708,0.0034759897405709883,1594.184949493408,5.213984610856515e-06,2683034.958267212,146541.91391220104,0.009510398
2025-12-23,2806055.8554862975,-0.00831255617204658,3017551.900100708,0.0,1594.184949493408,0.0,2659513.9415740967,146541.91391220104,0.0019755363
2025-12-24,2812072.888872528,0.002144302785158815,3017551.900100708,0.0,1594.184949493408,0.0,2665530.974960327,146541.91391220104,0.0028836727
2025-12-25,2813166.913912201,0.0003890457619366651,3017551.900100708,0.0,1594.184949493408,0.0,2666625.0,146541.91391220104,0.0018292665
2025-12-26,2818089.9222587585,0.0017499880018535098,3017551.900100708,0.0,1594.184949493408,0.0,2671548.0083465576,146541.91391220104,0.0031673908
2025-12-29,2827935.9389518737,0.0034938617874987624,3017551.900100708,0.0,1594.184949493408,0.0,2681394.025039673,146541.91391220104,-0.0038366318
2025-12-30,2824106.955644989,-0.001353985164283429,3017551.900100708,0.0,1594.184949493408,0.0,2677565.041732788,146541.91391220104,0.0025670528
2025-12-31,2897404.9639915465,0.025954402399684367,3017551.900100708,0.0,1594.184949493408,0.0,2750863.0500793457,146541.91391220104,-0.0045884848
2026-01-05,2932057.363912201,0.013404046173494371,5807251.900100708,0.9628270934404802,5778.734949493408,0.00144424064016072,0.0,2932057.363912201,0.018964887
