datetime,side,value,cash,turnover,cost,account
2025-10-20,BUY,2803709.9166870117,150093.85902557382,0.9494939666748047,0.00047474698333740235,2953803.7757125855
2025-10-27,BUY,2852279.983520508,181965.97948265084,0.010571903640854762,1.585785546128211e-05,3034245.9630031586
2025-11-03,BUY,2991279.917907715,193205.09523887644,0.003534769596095272,5.302154394142894e-06,3184485.0131465914
2025-11-10,SELL,2878303.9916992188,161593.29733047495,0.010466475923184483,5.233237961592212e-06,3039897.2890296937
2025-11-17,SELL,2770688.0752563477,141623.31671981822,0.006929340071482048,3.464670035741008e-06,2912311.391976166
2025-11-24,SELL,2739809.9586486816,171458.4962627412,0.010529344832625293,1.579401724893791e-05,2911268.454911423
2025-12-01,SELL,2724352.099609375,161489.49632377634,0.003489476627678283,1.751042076000255e-06,2885841.5959331514
2025-12-08,SELL,2680310.01663208,156578.49618644724,0.0017410489448412161,1.77440776203185e-06,2836888.5128185274
2025-12-15,BUY,2737862.9413604736,136768.59618644725,0.006910443526237337,3.4552217631187e-06,2874631.537546921
2025-12-22,SELL,2683034.958267212,146541.91391220104,0.0034759897405709883,5.213984610856515e-06,2829576.8721794127
2026-01-05,SELL,0.0,2932057.363912201,0.9628270934404802,0.00144424064016072,2932057.363912201
