date,ticker,status,error_message,action,target_position,score,action_score,reasoning
2025-10-03,002230,baseline,,买入,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=15.641, DEA=12.014"
2025-10-10,002230,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=20.745, DEA=15.178"
2025-10-17,002230,baseline,,卖出,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=8.326, DEA=13.826"
2025-10-24,002230,baseline,,持有,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=-0.656, DEA=5.279"
2025-10-31,002230,baseline,,买入,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=4.399, DEA=3.039"
2025-11-07,002230,baseline,,卖出,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=2.046, DEA=3.636"
2025-11-14,002230,baseline,,持有,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=-7.878, DEA=-1.778"
2025-11-21,002230,baseline,,持有,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=-11.661, DEA=-7.271"
2025-11-28,002230,baseline,,持有,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=-12.190, DEA=-10.229"
2025-12-05,002230,baseline,,持有,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=-13.256, DEA=-11.903"
2025-12-12,002230,baseline,,买入,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=-10.447, DEA=-11.778"
2025-12-19,002230,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=-8.423, DEA=-9.694"
2025-12-26,002230,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=-6.989, DEA=-8.198"
2025-12-31,002230,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=-4.050, DEA=-6.776"
