datetime,cash,now_account_value,SH600519.amount,SH600519.price,SH600519.weight,SH600519.count_day
2026-04-01,3000000.0,3000000.0,,,,
2026-04-02,3000000.0,3000000.0,,,,
2026-04-03,3000000.0,3000000.0,,,,
2026-04-07,1002184.4283325195,2971607.939074707,1400.0,1406.7310791015625,0.6627467523038797,1.0
2026-04-08,1002184.4283325195,3005798.7349731447,1400.0,1431.153076171875,0.6665829895156058,2.0
2026-04-09,1002184.4283325195,2999603.495715332,1400.0,1426.7279052734375,0.665894365783994,3.0
2026-04-10,1002184.4283325195,2990672.685168457,1400.0,1420.3487548828125,0.664896652414482,4.0
2026-04-13,2974088.754370117,2974088.754370117,,,,
2026-04-14,2974088.754370117,2974088.754370117,,,,
2026-04-15,2974088.754370117,2974088.754370117,,,,
2026-04-16,2974088.754370117,2974088.754370117,,,,
2026-04-17,2974088.754370117,2974088.754370117,,,,
2026-04-20,2836963.5365722654,2974790.9779785154,100.0,1378.2744140625,0.04633180698292592,1.0
2026-04-21,2836963.5365722654,2974900.389599609,100.0,1379.3685302734375,0.0463668812272093,2.0
2026-04-22,2836963.5365722654,2974655.1991699217,100.0,1376.9166259765625,0.04628827658280501,3.0
2026-04-23,2836963.5365722654,2975583.238720703,100.0,1386.197021484375,0.04658572489070562,4.0
2026-04-24,2836963.5365722654,2979440.9413574217,100.0,1424.7740478515625,0.047820180896166416,5.0
2026-04-27,2836963.5365722654,2974039.7572753904,100.0,1370.76220703125,0.04609091736847014,6.0
2026-04-28,2836963.5365722654,2974215.5995605467,100.0,1372.5206298828125,0.04614731460912277,7.0
2026-04-29,2836963.5365722654,2973841.454052734,100.0,1368.7791748046875,0.046027308313270135,8.0
2026-04-30,2836963.5365722654,2972241.3197753904,100.0,1352.77783203125,0.04551372807553453,9.0
2026-05-06,2703542.562548828,2972185.384814453,200.0,1343.214111328125,0.09038562117900859,10.0
2026-05-07,2703542.562548828,2971413.656298828,200.0,1339.35546875,0.0901493782873901,11.0
2026-05-08,2703542.562548828,2971792.6846191403,200.0,1341.2506103515625,0.0902654224363201,12.0
2026-05-11,2300995.503375244,2965925.5570861814,500.0,1329.860107421875,0.22418973130404046,13.0
2026-05-12,2300995.503375244,2962613.911578369,500.0,1323.23681640625,0.22332252124295188,14.0
2026-05-13,2300995.503375244,2957504.84175415,500.0,1313.0186767578125,0.22198081609547546,15.0
2026-05-14,2300995.503375244,2956567.036578369,500.0,1311.14306640625,0.22173403311761775,16.0
2026-05-15,2300995.503375244,2952063.618609619,500.0,1302.13623046875,0.220546776543054,17.0
2026-05-18,2952574.5279113767,2952574.5279113767,,,,
2026-05-19,2952574.5279113767,2952574.5279113767,,,,
2026-05-20,2952574.5279113767,2952574.5279113767,,,,
2026-05-21,2952574.5279113767,2952574.5279113767,,,,
2026-05-22,2952574.5279113767,2952574.5279113767,,,,
2026-05-25,2952574.5279113767,2952574.5279113767,,,,
2026-05-26,2952574.5279113767,2952574.5279113767,,,,
2026-05-27,2952574.5279113767,2952574.5279113767,,,,
2026-05-28,2952574.5279113767,2952574.5279113767,,,,
2026-05-29,2952574.5279113767,2952574.5279113767,,,,
2026-06-01,2952574.5279113767,2952574.5279113767,,,,
2026-06-02,2952574.5279113767,2952574.5279113767,,,,
2026-06-03,2952574.5279113767,2952574.5279113767,,,,
2026-06-04,2952574.5279113767,2952574.5279113767,,,,
2026-06-05,2952574.5279113767,2952574.5279113767,,,,
2026-06-08,2082322.9691955564,2945971.5531799314,700.0,1233.78369140625,0.2931625673887238,1.0
2026-06-09,2082322.9691955564,2941198.530718994,700.0,1226.965087890625,0.2920155006719251,2.0
2026-06-10,2082322.9691955564,2954792.817828369,700.0,1246.385498046875,0.2952727661203793,3.0
2026-06-11,2082322.9691955564,2956926.313922119,700.0,1249.433349609375,0.2957812443985029,4.0
2026-06-12,2082322.9691955564,2965754.4145080564,700.0,1262.044921875,0.29787747798363773,5.0
2026-06-15,2964968.6669860836,2964968.6669860836,,,,
2026-06-16,2964968.6669860836,2964968.6669860836,,,,
2026-06-17,2964968.6669860836,2964968.6669860836,,,,
2026-06-18,2964968.6669860836,2964968.6669860836,,,,
2026-06-22,2608919.100311279,2972732.78439331,300.0,1212.7122802734375,0.12238358119237419,1.0
2026-06-23,2608919.100311279,2967176.3024597163,300.0,1194.190673828125,0.12074011303320638,2.0
2026-06-24,2608919.100311279,2962847.72579956,300.0,1179.7620849609375,0.11945555703264141,3.0
2026-06-25,2608919.100311279,2964143.0505065913,300.0,1184.079833984375,0.11984035322944431,4.0
2026-06-26,2608919.100311279,2959508.1017761226,300.0,1168.6300048828125,0.11846191644295241,5.0
2026-06-29,2608919.100311279,2967407.088592529,300.0,1194.9599609375,0.12080849629946948,6.0
2026-06-30,2608919.100311279,2964566.0973815913,300.0,1185.489990234375,0.11996595298867932,7.0
2026-07-01,2608919.100311279,2966822.1032409663,300.0,1193.010009765625,0.12063514106178226,8.0
