datetime,cash,now_account_value,SH600519.amount,SH600519.price,SH600519.weight,SH600519.count_day
2026-04-01,3000000.0,3000000.0,,,,
2026-04-02,3000000.0,3000000.0,,,,
2026-04-03,3000000.0,3000000.0,,,,
2026-04-07,288678.86702270526,2961467.917315674,1900.0,1406.7310791015625,0.9025216969818235,1.0
2026-04-08,288678.86702270526,3007869.7117492678,1900.0,1431.153076171875,0.9040254749415925,2.0
2026-04-09,288678.86702270526,2999461.8870422365,1900.0,1426.7279052734375,0.9037564476915655,3.0
2026-04-10,288678.86702270526,2987341.501300049,1900.0,1420.3487548828125,0.9033659637182169,4.0
2026-04-13,147546.4342163088,2967436.326794434,2000.0,1409.9449462890625,0.950278146532062,5.0
2026-04-14,147546.4342163088,2974450.486950684,2000.0,1413.4520263671875,0.9503953974478261,6.0
2026-04-15,147546.4342163088,3014698.045544434,2000.0,1433.5758056640625,0.9510576409354248,7.0
2026-04-16,147546.4342163088,3005593.553356934,2000.0,1429.0235595703125,0.9509093855849156,8.0
2026-04-17,147546.4342163088,2896964.158825684,2000.0,1374.7088623046875,0.9490686021203251,9.0
2026-04-20,147546.4342163088,2904095.262341309,2000.0,1378.2744140625,0.9491936658794878,10.0
2026-04-21,147546.4342163088,2906283.494763184,2000.0,1379.3685302734375,0.949231919569384,11.0
2026-04-22,147546.4342163088,2901379.686169434,2000.0,1376.9166259765625,0.949146113168281,12.0
2026-04-23,147546.4342163088,2919940.477185059,2000.0,1386.197021484375,0.9494693691980497,13.0
2026-04-24,147546.4342163088,2997094.529919434,2000.0,1424.7740478515625,0.9507701766683098,14.0
2026-04-27,147546.4342163088,2889070.848278809,2000.0,1370.76220703125,0.9489294510364081,15.0
2026-04-28,147546.4342163088,2892587.693981934,2000.0,1372.5206298828125,0.9489915432734223,16.0
2026-04-29,147546.4342163088,2885104.783825684,2000.0,1368.7791748046875,0.9488592459298271,17.0
2026-04-30,147546.4342163088,2853102.098278809,2000.0,1352.77783203125,0.9482856101415651,18.0
2026-05-06,2810631.742810059,2810631.742810059,,,,
2026-05-07,2810631.742810059,2810631.742810059,,,,
2026-05-08,2810631.742810059,2810631.742810059,,,,
2026-05-11,2810631.742810059,2810631.742810059,,,,
2026-05-12,2810631.742810059,2810631.742810059,,,,
2026-05-13,2810631.742810059,2810631.742810059,,,,
2026-05-14,2810631.742810059,2810631.742810059,,,,
2026-05-15,2810631.742810059,2810631.742810059,,,,
2026-05-18,2810631.742810059,2810631.742810059,,,,
2026-05-19,2810631.742810059,2810631.742810059,,,,
2026-05-20,2810631.742810059,2810631.742810059,,,,
2026-05-21,2810631.742810059,2810631.742810059,,,,
2026-05-22,2810631.742810059,2810631.742810059,,,,
2026-05-25,2810631.742810059,2810631.742810059,,,,
2026-05-26,2810631.742810059,2810631.742810059,,,,
2026-05-27,2810631.742810059,2810631.742810059,,,,
2026-05-28,2810631.742810059,2810631.742810059,,,,
2026-05-29,2810631.742810059,2810631.742810059,,,,
2026-06-01,2810631.742810059,2810631.742810059,,,,
2026-06-02,2810631.742810059,2810631.742810059,,,,
2026-06-03,2810631.742810059,2810631.742810059,,,,
2026-06-04,2810631.742810059,2810631.742810059,,,,
2026-06-05,2810631.742810059,2810631.742810059,,,,
2026-06-08,2810631.742810059,2810631.742810059,,,,
2026-06-09,2810631.742810059,2810631.742810059,,,,
2026-06-10,2810631.742810059,2810631.742810059,,,,
2026-06-11,2810631.742810059,2810631.742810059,,,,
2026-06-12,2810631.742810059,2810631.742810059,,,,
2026-06-15,2810631.742810059,2810631.742810059,,,,
2026-06-16,2810631.742810059,2810631.742810059,,,,
2026-06-17,2810631.742810059,2810631.742810059,,,,
2026-06-18,2810631.742810059,2810631.742810059,,,,
2026-06-22,2810631.742810059,2810631.742810059,,,,
2026-06-23,2810631.742810059,2810631.742810059,,,,
2026-06-24,2810631.742810059,2810631.742810059,,,,
2026-06-25,2810631.742810059,2810631.742810059,,,,
2026-06-26,2810631.742810059,2810631.742810059,,,,
2026-06-29,2810631.742810059,2810631.742810059,,,,
2026-06-30,2810631.742810059,2810631.742810059,,,,
2026-07-01,2810631.742810059,2810631.742810059,,,,
