date,ticker,status,error_message,action,target_position,score,action_score,reasoning
2026-04-03,600519,baseline,,买入,1.0,1.0,1.0,"kdj_rsi: KDJ&RSI bullish: K=63.83>D=49.95, RSI6=69.71, RSI12=58.49"
2026-04-10,600519,baseline,,持有,1.0,1.0,1.0,kdj_rsi: KDJ&RSI neutral: keep previous position
2026-04-17,600519,baseline,,卖出,0.0,0.0,0.0,"kdj_rsi: KDJ&RSI bearish: K=45.88<D=55.55, RSI6=28.96, RSI12=39.61"
2026-04-24,600519,baseline,,买入,1.0,1.0,1.0,"kdj_rsi: KDJ&RSI bullish: K=41.05>D=34.90, RSI6=65.66, RSI12=56.97"
2026-05-01,600519,baseline,,卖出,0.0,0.0,0.0,"kdj_rsi: KDJ&RSI bearish: K=12.03<D=20.25, RSI6=31.78, RSI12=38.33"
2026-05-08,600519,baseline,,持有,0.0,0.0,0.0,"kdj_rsi: KDJ&RSI bearish: K=12.64<D=14.91, RSI6=29.05, RSI12=36.21"
2026-05-15,600519,baseline,,持有,0.0,0.0,0.0,"kdj_rsi: KDJ&RSI bearish: K=8.29<D=9.17, RSI6=14.56, RSI12=27.34"
2026-05-22,600519,baseline,,持有,0.0,0.0,0.0,"kdj_rsi: KDJ&RSI bearish: K=2.56<D=4.98, RSI6=6.84, RSI12=19.51"
2026-05-29,600519,baseline,,持有,0.0,0.0,0.0,kdj_rsi: KDJ&RSI neutral: keep previous position
2026-06-05,600519,baseline,,持有,0.0,0.0,0.0,"kdj_rsi: KDJ&RSI bearish: K=38.63<D=43.52, RSI6=36.07, RSI12=35.72"
2026-06-12,600519,baseline,,持有,0.0,0.0,0.0,kdj_rsi: KDJ&RSI neutral: keep previous position
2026-06-19,600519,baseline,,持有,0.0,0.0,0.0,"kdj_rsi: KDJ&RSI bearish: K=15.22<D=24.34, RSI6=21.26, RSI12=28.68"
2026-06-26,600519,baseline,,持有,0.0,0.0,0.0,"kdj_rsi: KDJ&RSI bearish: K=10.04<D=15.93, RSI6=26.71, RSI12=30.81"
2026-06-30,600519,baseline,,持有,0.0,0.0,0.0,kdj_rsi: KDJ&RSI neutral: keep previous position
