date,ticker,status,error_message,action,target_position,score,action_score,reasoning
2026-04-03,600519,baseline,,买入,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=28.477, DEA=-4.473"
2026-04-10,600519,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=47.765, DEA=22.960"
2026-04-17,600519,baseline,,卖出,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=21.621, DEA=33.748"
2026-04-24,600519,baseline,,持有,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=-16.578, DEA=-3.896"
2026-05-01,600519,baseline,,持有,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=-74.924, DEA=-35.030"
2026-05-08,600519,baseline,,持有,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=-120.425, DEA=-71.670"
2026-05-15,600519,baseline,,持有,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=-185.361, DEA=-135.100"
2026-05-22,600519,baseline,,持有,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=-237.556, DEA=-192.254"
2026-05-29,600519,baseline,,持有,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=-230.873, DEA=-230.556"
2026-06-05,600519,baseline,,买入,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=-214.702, DEA=-217.444"
2026-06-12,600519,baseline,,持有,1.0,1.0,1.0,"macd: MACD bullish crossover: DIF=-181.085, DEA=-207.805"
2026-06-19,600519,baseline,,卖出,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=-209.388, DEA=-198.160"
2026-06-26,600519,baseline,,持有,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=-241.081, DEA=-218.060"
2026-06-30,600519,baseline,,持有,0.0,0.0,0.0,"macd: MACD bearish crossover: DIF=-224.814, DEA=-221.351"
