source_file,signal_date,field_path,component,status,evidence_level,ok,source,vendor,rows,cutoff_date,retrieved_at,temporal_rule,warning,evidence,time_evidence_count
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-03.json,2026-04-03,input_state.sentiment_report,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-03.json,2026-04-03,input_state.data_audit_report,news,structured,tool_header,,,,,2026-04-03,,,,,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-03.json,2026-04-03,input_state.data_evidence_audit.fundamentals.rule,news,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,"entals require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcements ar",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-03.json,2026-04-03,input_state.data_evidence_audit.social.rule,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-03.json,2026-04-03,input_state.skip_analysts.social,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-10.json,2026-04-10,input_state.sentiment_report,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-10.json,2026-04-10,input_state.data_audit_report,news,structured,tool_header,,,,,2026-04-10,,,,,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-10.json,2026-04-10,input_state.data_evidence_audit.fundamentals.rule,news,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,"entals require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcements ar",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-10.json,2026-04-10,input_state.data_evidence_audit.social.rule,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-10.json,2026-04-10,input_state.skip_analysts.social,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-17.json,2026-04-17,input_state.sentiment_report,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-17.json,2026-04-17,input_state.news_report,news,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,------| | 数据质量 | ✅ **良好**（DATA_QUALITY: ok=true） | | 数据来源 | 东方财富股票新闻 + 巨潮资讯公司公告 | | 时效性 | ✅ **高时效**（截止至当日19:30） | | 新闻数量 | 3,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-17.json,2026-04-17,input_state.news_report,news,inferred,artifact_text_mention,,CNInfo,巨潮资讯|CNInfo,,,,,Source inferred from final artifact text; not a tool-call log.,据质量 | ✅ **良好**（DATA_QUALITY: ok=true） | | 数据来源 | 东方财富股票新闻 + 巨潮资讯公司公告 | | 时效性 | ✅ **高时效**（截止至当日19:30） | | 新闻数量 | 3条（均为公司公告，无外,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-17.json,2026-04-17,input_state.data_audit_report,news,structured,tool_header,,,,,2026-04-17,,,,,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-17.json,2026-04-17,input_state.data_evidence_audit.fundamentals.rule,news,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,"entals require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcements ar",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-17.json,2026-04-17,input_state.data_evidence_audit.social.rule,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-17.json,2026-04-17,input_state.skip_analysts.social,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-24.json,2026-04-24,input_state.sentiment_report,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-24.json,2026-04-24,input_state.data_audit_report,news,structured,tool_header,,,,,2026-04-24,,,,,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-24.json,2026-04-24,input_state.data_evidence_audit.fundamentals.rule,news,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,"entals require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcements ar",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-24.json,2026-04-24,input_state.data_evidence_audit.social.rule,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-24.json,2026-04-24,input_state.skip_analysts.social,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-01.json,2026-05-01,input_state.sentiment_report,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-01.json,2026-05-01,input_state.news_report,news,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,| | **数据质量** | ✅ 数据完整（DATA_QUALITY: ok=true） | | **数据来源** | 东方财富证券新闻 + 巨潮资讯网公告（权威可靠） | | **近期股票新闻** | 近14天无经审计的独立股票新闻 | | **,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-01.json,2026-05-01,input_state.news_report,news,inferred,artifact_text_mention,,CNInfo,巨潮资讯|CNInfo,,,,,Source inferred from final artifact text; not a tool-call log.,* | ✅ 数据完整（DATA_QUALITY: ok=true） | | **数据来源** | 东方财富证券新闻 + 巨潮资讯网公告（权威可靠） | | **近期股票新闻** | 近14天无经审计的独立股票新闻 | | **近期公司公告** |,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-01.json,2026-05-01,input_state.fundamentals_report,fundamentals,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,为当前市价进行分析。 #### **3. 估值分析** **市盈率（PE）**： * **TTM PE**：根据BaoStock提供的最新TTM EPS（66.05元）和当前股价（1356.77元）计算，当前**TTM PE约为20.54倍**。,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-01.json,2026-05-01,input_state.data_audit_report,news,structured,tool_header,,,,,2026-05-01,,,,,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-01.json,2026-05-01,input_state.data_evidence_audit.fundamentals.rule,news,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,"entals require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcements ar",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-01.json,2026-05-01,input_state.data_evidence_audit.social.rule,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-01.json,2026-05-01,input_state.skip_analysts.social,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-08.json,2026-05-08,input_state.sentiment_report,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-08.json,2026-05-08,input_state.news_report,news,inferred,artifact_text_mention,,CNInfo,巨潮资讯|CNInfo,,,,,Source inferred from final artifact text; not a tool-call log.,时间：** 2026年5月8日 **分析标的：** 600519（贵州茅台酒股份有限公司） **数据来源：** 巨潮资讯网（CNInfo）官方公告 **时效性评估：** ✅ 数据有效，公告信息完整可靠 --- ## 一、核心新闻事件,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-08.json,2026-05-08,input_state.data_audit_report,news,structured,tool_header,,,,,2026-05-08,,,,,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-08.json,2026-05-08,input_state.data_evidence_audit.fundamentals.rule,news,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,"entals require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcements ar",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-08.json,2026-05-08,input_state.data_evidence_audit.social.rule,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-08.json,2026-05-08,input_state.skip_analysts.social,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-15.json,2026-05-15,input_state.sentiment_report,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-15.json,2026-05-15,input_state.news_report,news,inferred,artifact_text_mention,,CNInfo,巨潮资讯|CNInfo,,,,,Source inferred from final artifact text; not a tool-call log.,**，但有一条**重要的公司公告**——贵州茅台关于回购股份实施进展的公告（披露日期：2026年5月8日）。该公告来源于巨潮资讯网（CNInfo），属于**法定信息披露渠道**，权威性极高。 **时效性评估：** 公告发布于5月8日，距分析日（5,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-15.json,2026-05-15,input_state.data_audit_report,news,structured,tool_header,,,,,2026-05-15,,,,,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-15.json,2026-05-15,input_state.data_evidence_audit.fundamentals.rule,news,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,"entals require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcements ar",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-15.json,2026-05-15,input_state.data_evidence_audit.social.rule,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
