datetime,cash,now_account_value,SZ300308.amount,SZ300308.price,SZ300308.weight,SZ300308.count_day
2026-04-03,1000000.0,1000000.0,,,,
2026-04-07,504714.2973144531,999752.4809082032,800.0,618.7977294921875,0.49516074533172794,1.0
2026-04-08,504714.2973144531,1054575.5766113282,800.0,687.3265991210938,0.5214052852084309,2.0
2026-04-09,504714.2973144531,1058474.9906738282,800.0,692.2008666992188,0.5231684246094935,3.0
2026-04-10,504714.2973144531,1091739.5902832032,800.0,733.7816162109375,0.537697174485055,4.0
2026-04-13,872725.2943237305,1093863.599987793,300.0,737.127685546875,0.20216259656736937,5.0
2026-04-14,872725.2943237305,1104351.1854370118,300.0,772.0863037109375,0.2097393421293089,6.0
2026-04-15,872725.2943237305,1106442.7076538086,300.0,779.0580444335938,0.21123318154057122,7.0
2026-04-16,872725.2943237305,1115321.1988647461,300.0,808.6530151367188,0.21751214339685027,8.0
2026-04-17,872725.2943237305,1127723.5365112305,300.0,849.994140625,0.22611769102236928,9.0
2026-04-20,702841.3347351075,1127338.984881592,500.0,848.9953002929688,0.3765483637479908,10.0
2026-04-21,702841.3347351075,1134760.1884948732,500.0,863.8377075195312,0.38062566711355594,11.0
2026-04-22,702841.3347351075,1145627.345477295,500.0,885.572021484375,0.38650090929674213,12.0
2026-04-23,702841.3347351075,1150811.2138854982,500.0,895.9397583007812,0.3892644368991716,13.0
2026-04-24,702841.3347351075,1145812.129412842,500.0,885.9415893554688,0.38659984765978134,14.0
2026-04-27,702841.3347351075,1130849.8186218264,500.0,856.0169677734375,0.3784839302608151,15.0
2026-04-28,702841.3347351075,1114853.7553894045,500.0,824.0248413085938,0.3695663387799112,16.0
2026-04-29,702841.3347351075,1125341.3347351076,500.0,845.0,0.37544164331211705,17.0
2026-04-30,702841.3347351075,1131591.3347351076,500.0,857.5,0.37889120112462277,18.0
2026-05-06,617198.5347351074,1130798.5347351073,600.0,856.0,0.45419231120626824,19.0
2026-05-07,617198.5347351074,1143680.5171569823,600.0,877.469970703125,0.46034008145091954,20.0
2026-05-08,617198.5347351074,1148798.5347351073,600.0,886.0,0.4627443228090272,21.0
2026-05-11,804942.4967102051,1180994.49866333,400.0,940.1300048828125,0.3184197745025461,22.0
2026-05-12,804942.4967102051,1212138.492803955,400.0,1017.989990234375,0.33593190754285185,23.0
2026-05-13,804942.4967102051,1224622.477178955,400.0,1049.199951171875,0.34270151682625194,24.0
2026-05-14,804942.4967102051,1236142.496710205,400.0,1078.0,0.34882709812790164,25.0
2026-05-15,804942.4967102051,1224890.49475708,400.0,1049.8699951171875,0.3428453399258021,26.0
2026-05-18,804942.4967102051,1222942.496710205,400.0,1045.0,0.3417985728065279,27.0
2026-05-19,804942.4967102051,1216942.496710205,400.0,1030.0,0.3385533836757047,28.0
2026-05-20,804942.4967102051,1219742.496710205,400.0,1037.0,0.34007177836204483,29.0
2026-05-21,804942.4967102051,1202278.5074523925,400.0,993.3400268554688,0.3304858302625202,30.0
2026-05-22,804942.4967102051,1220134.488897705,400.0,1037.97998046875,0.3402837932747833,31.0
2026-05-25,695587.8467102051,1242087.846710205,500.0,1093.0,0.4399849829039551,32.0
2026-05-26,695587.8467102051,1247087.846710205,500.0,1103.0,0.4422302738775355,33.0
2026-05-27,695587.8467102051,1251272.8442687988,500.0,1111.3699951171875,0.4440957862258388,34.0
2026-05-28,695587.8467102051,1294582.8418273926,500.0,1197.989990234375,0.46269344514999516,35.0
2026-05-29,695587.8467102051,1276167.8638000488,500.0,1161.1600341796875,0.4549401638755022,36.0
2026-06-01,695587.8467102051,1260587.846710205,500.0,1130.0,0.44820359126458176,37.0
2026-06-02,695587.8467102051,1291492.87600708,500.0,1191.81005859375,0.4614079104634629,38.0
2026-06-03,695587.8467102051,1333087.846710205,500.0,1275.0,0.4782130461793818,39.0
2026-06-04,695587.8467102051,1335587.846710205,500.0,1280.0,0.47918974523198604,40.0
2026-06-05,695587.8467102051,1285582.8418273926,500.0,1179.989990234375,0.45893191470923705,41.0
2026-06-08,695587.8467102051,1273082.8418273926,500.0,1154.989990234375,0.4536193373624036,42.0
2026-06-09,695587.8467102051,1285587.846710205,500.0,1180.0,0.45893402112488757,43.0
2026-06-10,695587.8467102051,1269087.846710205,500.0,1147.0,0.45189937125838553,44.0
2026-06-11,695587.8467102051,1257587.846710205,500.0,1124.0,0.44688727031687486,45.0
2026-06-12,695587.8467102051,1270087.846710205,500.0,1149.0,0.4523309167063333,46.0
2026-06-15,695587.8467102051,1318087.846710205,500.0,1245.0,0.4722750471857305,47.0
2026-06-16,695587.8467102051,1319632.8296203613,500.0,1248.0899658203125,0.4728928902819769,48.0
2026-06-17,695587.8467102051,1333642.8393859863,500.0,1276.1099853515625,0.4784301867279128,49.0
2026-06-18,695587.8467102051,1379527.8491516113,500.0,1367.8800048828125,0.4957783221716176,50.0
2026-06-22,695587.8467102051,1386752.8247375488,500.0,1382.3299560546875,0.4984053147020997,51.0
2026-06-23,695587.8467102051,1350592.8515930176,500.0,1310.010009765625,0.4849759156582514,52.0
2026-06-24,695587.8467102051,1351677.8735656738,500.0,1312.1800537109375,0.48538933697621955,53.0
2026-06-25,695587.8467102051,1357287.8589172363,500.0,1323.4000244140625,0.48751634213754497,54.0
2026-06-26,695587.8467102051,1322532.8540344238,500.0,1253.8900146484375,0.47404872053779634,55.0
2026-06-29,695587.8467102051,1305587.846710205,500.0,1220.0,0.4672224864355671,56.0
2026-06-30,695587.8467102051,1330587.846710205,500.0,1270.0,0.47723267694801036,57.0
2026-07-01,939854.904486084,1306805.9176696776,300.0,1223.1700439453125,0.28079993227911615,58.0
