datetime,side,value,cash,turnover,cost,account
2026-04-07,BUY,490983.9904785156,508770.5175262451,0.4909839904785156,0.00024549199523925784,999754.5080047607
2026-04-13,BUY,588308.0017089844,466727.5064041137,0.04038295636509334,2.0191478182546674e-05,1055035.508113098
2026-04-20,SELL,553266.9952392578,509222.6675384521,0.03944543283649514,5.9168149254742686e-05,1062489.6627777098
2026-04-27,SELL,347904.00390625,726336.5099761962,0.19992779513664732,0.000299891692704971,1074240.513882446
2026-05-06,SELL,138000.0,955991.5099761962,0.2139263227188632,0.0003208894840782948,1093991.509976196
2026-05-11,BUY,178443.994140625,911358.2059417724,0.041037022298272836,2.051851114913646e-05,1089802.2000823976
2026-05-18,SELL,83446.00219726562,994679.0391357421,0.07720775400071837,0.00011581163100107753,1078125.0413330076
2026-06-01,BUY,462110.0067138672,616399.9886398315,0.35025229002674513,0.00017512614501337252,1078509.9953536987
2026-06-08,SELL,235811.99340820312,812615.2181549072,0.18543927207082883,0.0002781589081062432,1048427.2115631104
2026-06-15,SELL,79620.00122070312,971616.3605926514,0.15172575096929833,0.00022758862645394753,1051236.3618133545
2026-06-22,BUY,286286.0076904297,767024.1100967408,0.1947660461189285,9.738302305946425e-05,1053310.1177871705
2026-07-01,SELL,230303.99780273438,805350.5337310792,0.03683221718469104,5.5248325777036604e-05,1035654.5315338136
